subj_id,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,specimen_id
,F,F,F,F,F,F,F,F,F,F,F,F,F,F,H,H,H,H,H,H,H,H,H,H,H,H,H,H,
,d,d,d,d,d,d,d,v,v,v,v,v,v,v,d,d,d,d,d,d,d,v,v,v,v,v,v,v,
,ll4,ll7,lv,s,t,ws,wv,ll4,ll7,lv,s,t,ws,wv,ll4,ll7,lv,s,t,ws,wv,ll4,ll7,lv,s,t,ws,wv,
28,0.162919,0.187729,0.21640914009993,0.281715823284742,-0.032375198119886,0.233391356320237,0.100897389287335,0.182104,0.172216,0.173864,0.28132209571237,-0.024726559322763,0.234932501080629,0.09064,0.162453320346592,0.15225875669784,0.184212,0.281078241793989,0.001226169254401,0.222154517678574,0.089397,0.13923,0.1638,0.17927,0.274575818673094,-0.026089040208967,0.219581698918648,0.0728,0
29,0.1656,0.173552453333448,0.182482948043248,0.369363180688059,0.049959985196657,0.263158148283499,0.074538397728956,0.144375,0.15675,0.12705,0.396103970726121,0.083796028045293,0.266888456335226,0.06435,0.133348,0.14127096247753,0.179299,0.334281928392786,0.024068082845405,0.254785531310159,0.07208,0.135888,0.128592,0.19152,0.364111931098117,0.054526221756395,0.25588711311045,0.058368,0
30,0.174144,0.175958,0.19047,0.387157282050848,0.051496043251367,0.277353718815883,0.080723,0.16344,0.164348,0.130752,0.385954476154896,0.078020080105084,0.27983198850739,0.064468,0.165438,0.155439,0.184527,0.350022840674719,0.038938985590617,0.230844840819543,0.067266,0.152712,0.15453,0.10908,0.36799571417613,0.070843258210807,0.236525223572455,0.034542,0
31,0.143464,0.163355188871454,0.195282923298649,0.323375502943559,0.0826079358649,0.268013854119521,0.080832401919033,0.157776,0.145008,0.121010283410014,0.343058713295552,0.073144954663257,0.270913126858039,0.061110805591156,0.152290446521378,0.164268158312112,0.174677202990956,0.300951623396519,0.065232269535592,0.260245334876535,0.070613201315335,0.154930993941538,0.148798609502861,0.122162806708836,0.330691241093561,0.069013912709142,0.262234966341257,0.046241515762354,0
32,0.133152,0.152304,0.174192,0.30556899905586,0.075029738304746,0.26722222518346,0.075696,0.145167,0.119603,0.114359860413286,0.298664056575277,0.08067036079679,0.270927269637074,0.065761356220808,0.13635,0.14322570943782,0.173970290524913,0.303607360775394,0.055294160133177,0.262019151452713,0.069998902348537,0.137864,0.127887,0.1159135926466,0.293236059728336,0.072325898852044,0.26403671999364,0.050864831711115,0
33,0.134133368994261,0.1596,0.172368,0.325604436333414,0.063075831395761,0.280577507751423,0.078432,0.158295,0.150975,0.125355,0.306690201750887,0.080223334791447,0.284076187888038,0.068625,0.153187577084071,0.154297,0.173542835874961,0.314204675464895,0.063333388822065,0.271462092095747,0.071587584202849,0.136857090298535,0.15824685014014,0.115282223542921,0.301207331127581,0.055149447784672,0.271417028988603,0.043778059573261,0
34,0.166166,0.175920918105915,0.143341,0.307207881051252,0.041003594144509,0.226688909547865,0.074866,0.141686364798171,0.12824,0.110836,0.280319946689493,0.076666247256252,0.231863828761625,0.044884,0.119734,0.128874,0.135549208585575,0.296205106134246,0.035767945654749,0.209433681579635,0.056675370488423,0.129701,0.116594213576257,0.090698348510976,0.272703996303684,0.059687582951485,0.208848444162268,0.049187505618805,0
35,0.129525,0.12705,0.14685,0.245093046106984,-0.016229431431695,0.189329860957008,0.076725,0.124726,0.118118,0.101598,0.204063797337989,-0.039097561446449,0.183150483319046,0.055342,0.121538,0.117003,0.130608,0.230378,-0.026857183795468,0.169179206783813,0.058955,0.109989,0.119988,0.107262,0.207283892283023,-0.033334406981376,0.17220692520918,0.050904,0
36,0.132342,0.13697279798042,0.128686928793565,0.215370274717752,-0.016614716971495,0.193381505485918,0.075561430637595,0.118656,0.1236,0.079104482295874,0.227676135596158,0.0177020895635,0.180456,0.051147771486156,0.119472,0.117088272709721,0.121285986002572,0.199730082180927,-0.026857015934724,0.17516336493685,0.065065943165377,0.116352,0.108171,0.080901,0.221842562735378,0.0144119308997,0.177257330753907,0.050904,0
37,0.142379,0.129211,0.162954,0.225508007219256,-0.021952794519097,0.210818160965795,0.083946,0.124424,0.133488,0.087934573817627,0.192831845502759,0.019343944183175,0.200369286269129,0.051918539270669,0.134828,0.131184,0.14576,0.193082576223232,-0.006899323871002,0.180483792208608,0.06377,0.124533,0.119001873109689,0.109650800627696,0.177292288385592,-0.031769709241164,0.177590313612539,0.044550274544609,0
